0;1
0;баня водяная
1;здание производственной части цеха
1;цех склад металлов
1;цех склад металлов
1;цех склад металлов
1;цех склад металлов
1;здание сырьевого склада цеха тепляк
1;навес над железной дорогой цеха
1;овощехранилище
1;здание гаража инв
1;корпус управления
1;здание сырьевого склада жидких продуктов
1;пожарное депо
1;пожарное депо
1;пожарное депо
1;цех пункт распределения компонентов катализатора
1;здание полимеризации пункт распределения инв дивинильн
1;здание полимеризации пункт распределения инв дивинильн
1;здание полимеризации пункт распределения инв дивинильн
1;здание полимеризации пункт распределения инв дивинильн
1;здание полимеризации пункт распределения инв дивинильн
1;здание полимеризации пункт распределения инв дивинильн
1;здание полимеризации пункт распределения инв дивинильн
1;здание около цеха
1;подстанция блока водооборота отделения
1;подстанция блока водооборота отделения
1;здание
1;здание для отпуска аммиака
1;цех склад оборудования
1;цех склад оборудования
1;здание участка около упр террирот завода
1;здание участка около упр террирот завода
1;здание насосного отделения цеха очистки растворит
1;здание насосного отделения цеха очистки растворит
1;здание насосного отделения цеха очистки растворит
1;здание участка около упр террирот завода
1;здание грп цеха
1;здание установки утилизации воздушных выбросов
1;здание кип
1;здание этажное корпуса управления цеха
1;пристройка парового узла цеху
1;здание склада метизов
1;здание насосной перекачки спирта
1;здание проходной
1;здание проходной
1;здание проходной
1;здание проходной
1;здание проходной
1;здание проходной
1;здание проходной
1;здание проходной
1;здание изготовления металлоконструкций
1;здание контрольно регулировочного пункта
1;здание контрольно регулировочного пункта
1;здание трансформаторной подстванции
1;здание стационарного поста автоматического
1;здание стационарного поста автоматического
1;здание проходной
1;здание проходной
1;помещения бытовые вспомогательные цеха полимери
1;помещения бытовые вспомогательные цеха полимери
1;помещения бытовые вспомогательные цеха полимери
1;склад пенообразователя
1;склад пенообразователя
1;здание кип цеха
1;здание установки резервной дробилки
1;здание насосного отделения цеха
1;здание блока производст вспомог
1;здание блока производственных вспомогательных
1;здание корпуса управления
1;здание административно бытового назначения цеха
1;здание административно бытового назначения цеха
1;здание заводоуправления подвалом этажное
1;здание заводоуправлен подвалом этажн буфет
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;здание заводоуправления подвалом этажное
1;вспомогательное производственное здание ремонта
1;вспомогательное производственное здание ремонта
1;здание лит административный бытовой корпус
1;здание лит копрессорный цех
1;здание лит помещение очистки воды
1;операторская модульное здание лит
1;здание центр пульта упункт распределенияавления пункт распределения скд дст
1;здание этажное
1;здание этажное
2;цуп распределительное устройство трансформ
3;административно бытовое здание лабораторие
2;щитовая низкого напряжения
2;узел приготовления технологических добавок
3;противопожарная насосная
2;узел перекачки фекальных стоков
1;здание контрольно пропускной пункт
1;здание контрольно пропускной пункт
1;здание цеха участка ремонту промышленных
1;здание цеха участка ремонту промышленных
1;здание цеха участка ремонту промышленных
1;установка цеха наружная бетонированной площадкой
1;установка цеха наружная бетонированной площадкой
1;заводоуправление корпус ранее дом общественных
1;заводоуправление корпус ранее дом общественных
1;заводоуправление корпус ранее дом общественных
1;здание производственной части деревообрабат
1;склад столовых
1;установка наружная
1;здание насосной
1;установка наружная
1;склад аммиака
1;здание насосной легковоспламеняющихся
1;здание насосной легковоспламеняющихся
1;здание сырьевого склада жидких продуктов
1;цех для приема привозного катализатора
1;здание главной проходной
1;здание главной проходной
1;здание главной проходной
1;здание главной проходной
1;здание главной проходной
1;здание главной проходной
1;здание цеха
1;здание цеха
1;здание цеха
1;здание цеха
1;здание второй проходной
1;лаборатория заводская двух четырехэтажное здание
1;лаборатория заводская двух четырехэтажное здание
1;здание производственного помещения
1;здание производственного помещения
1;здание каркасное одно двухэтажное
1;установка наружная
1;установка наружная
1;установка наружная
1;установка наружная металлическая
1;установка наружная металлическая реконструкция
1;установка наружная металлическая реконструкция
1;установка наружная железобетонная над цехом
1;установка наружная железобетонная над цехом
1;установка наружная железобетонная над цехом
1;здание лаборатории бывшее отк
1;здание пристройки
1;депо паровозное одно стойло смотровой
1;пожарный пост площадью
1;пост стрелочный одноэтажное
1;производ часть здан
1;здание хранения отпуска продуктов насосная
1;здание хранения отпуска продуктов насосная
1;мастерская ремонта узлов компрессоров
1;мастерская ремонта узлов компрессоров
1;вышка лафетная
1;вышка лафетная
1;вышка лафетная
1;здание бытовых помещений пристройка
1;здание над авар емкостью
1;здание быт корп
1;установка наружная
1;здание механического цеха
1;здание производственного цеха
1;здание производственного цеха
1;здание производственной части цеха
1;здание производственной части
1;здание производственной части цеха
1;здание бытового корп
1;здание бытового корп
1;здание бытового корп
1;здание бытового корп
1;шахты лифтов цеха
1;здание вспомонательное служебное
1;здание вспомонательное служебное
1;здание вспомонательное служебное
1;здание насосной
1;здание бытовых помещений цех
1;насосная открытая
1;производственное здание склада каучуков
1;производственное здание склада каучуков
1;помещение кип одноэтажное
1;здание подстанции одноэтажное
1;здание
1;здание цеха
1;здание цеха отдельно стоящее одноэт подвальн
1;склад химикатов реактивов полузаземленный
1;электроподстанция цеха полимеризации
1;производственное здание склада каучуков
1;здание компрессорного отделения цеха
1;произв помещение вместе хлораторной
1;промышленное здание цеха
1;здание бытовых помещений цеха складского хозяйства
1;здание бытовых помещений цеха складского хозяйства
1;здание пилорамного цеха
1;здание пилорамного цеха
1;здание пилорамного цеха
1;здание сушилки деревообрабатывающего цеха
1;здание сушилки деревообрабатывающего цеха
1;здание сушилки деревообрабатывающего цеха
1;здание насосной
1;здание насосной
1;трансформаторная подстанция
